Size,Sequential_avg,Parallel_avg,Libc_avg
100,7.3999999999999995e-06,0.0104998,7.6e-06
1000,0.000102,0.03299,0.0001102
10000,0.001245,0.0732482,0.0012392
100000,0.015525200000000001,0.0980758,0.015153999999999999
1000000,0.1893448,0.1905512,0.1827906
